ChemBL ID,SMILES,Compound Key,Ki,database,Assay ChEMBL ID,Document ChEMBL ID
,OCC[C@H]1CN(CC2CCCCC2)CCN1Cc1cccc2ccccc12,SYA013-D-6,16.0,NewLiterature,,10.1016/j.bmc.2022.117038
,OCC[C@@H]1CN(CC2CCCCC2)CCN1Cc1cccc2ccccc12,SYA013-D-ent-6,37.0,NewLiterature,,10.1016/j.bmc.2022.117039
,OCC[C@H]1CN(CC2CCCCC2)CCN1Cc1ccc(-c2ccccc2)cc1,SYA013-D-7,43.0,NewLiterature,,10.1016/j.bmc.2022.117040
,OCC[C@@H]1CN(CC2CCCCC2)CCN1Cc1ccc(-c2ccccc2)cc1,SYA013-D-ent-7,39.0,NewLiterature,,10.1016/j.bmc.2022.117041
,COc1cccc(OC)c1C1CCC(N2CCN(C3CCCCC3)CC2)CC1,SYA013-D-8,7.92,NewLiterature,,10.1016/j.bmc.2022.117042
,Fc1cccc(F)c1C1CCC(N2CCN(C3CCCCC3)CC2)CC1,SYA013-D-9,14.1,NewLiterature,,10.1016/j.bmc.2022.117043
,c1ccc(CC2CCN(CC3CSC4(CCCCC4)S3)CC2)cc1,SYA013-D-10,19.5,NewLiterature,,10.1016/j.bmc.2022.117044
,c1ccc(CN2CCN(CC3CSC4(CCCCC4)S3)CC2)cc1,SYA013-D-11,75.9,NewLiterature,,10.1016/j.bmc.2022.117045
,CC(=O)N(CC1CCN(Cc2ccccc2)CC1)CC(C)(C)C,SYA013-D-12,1117.0,NewLiterature,,10.1016/j.bmc.2022.117046
,CCN(CC1CCN(Cc2ccc(Cl)cc2Cl)CC1)C(C)=O,SYA013-D-13,19.6,NewLiterature,,10.1016/j.bmc.2022.117047
,c1ccc(CNCCC2CCOC(c3ccccc3)O2)cc1,SYA013-D-14,92.0,NewLiterature,,10.1016/j.bmc.2022.117048
,c1ccc(CNCC[C@H]2CCC[C@@H](c3ccccc3)C2)cc1,"SYA013-D-(1R,3S)-15",49.0,NewLiterature,,10.1016/j.bmc.2022.117049
,c1ccc(CNCC[C@@H]2CCC[C@H](c3ccccc3)C2)cc1,"SYA013-D-(1S,3R)-15",47.0,NewLiterature,,10.1016/j.bmc.2022.117050
